0.026362	-8.86521	5 -1 -1 -1
0.0450893	-0.22222	7 -1 -1 -1
0.0586717	0.4678472	-1 -1 2 -1
0.2563447	0.15609	5 -1 -1 -1
0.3368787	0.08066	7 -1 -1 -1
0.3521173	-0.92541	5 -1 -1 -1
0.4836056	-1.22825	-1 0 0 -1
0.617808	-1.15233	8 -1 -1 -1
0.6584778	-10.5385	-1 0 -1 -1
0.6967293	-9.28422	0 0 -1 -1
0.6978253	0.47639	7 -1 2 -1
0.7168417	-9.2295278	-1 0 0 -1
0.7202367	-10.66558	3 -1 -1 -1
0.7241147	-10.90606	7 -1 -1 -1
0.7346307	1.03133	5 -1 -1 -1
0.7496444	10.44825	-1 -1 -1 0
0.7584611	-0.7963611	-1 0 0 -1
0.8276286	0.99828	5 -1 -1 -1
0.8494626	-9.48964	5 -1 -1 -1
0.9338556	-1.34035	-1 -1 2 -1
0.9389107	-9.60826	2 -1 -1 -1
0.9448526	-10.86752	7 -1 -1 -1
0.9505713	-0.87518	3 -1 -1 -1
1.082376	0.0731	0 -1 -1 -1
1.0900833	-9.81282	5 -1 -1 -1
1.1154967	0.52299	0 -1 -1 -1
1.2153083	-9.8446111	-1 0 -1 -1
1.240442	0.49241	5 -1 2 -1
1.3085147	-10.73233	5 -1 -1 -1
1.3170942	-10.0580778	-1 -1 2 -1
1.3656673	-0.49038	5 -1 -1 -1
1.5258114	0.55597	3 -1 2 -1
1.5464353	1.26271	5 -1 2 -1
1.5571873	-10.43852	5 -1 -1 -1
1.5575686	-8.40458	3 0 0 -1
1.5702167	-1.1248333	-1 0 0 -1
1.5842861	-0.9076667	-1 0 0 -1
1.6748861	0.3071667	-1 0 -1 -1
1.8816083	-0.1681944	-1 0 0 -1
1.905592	-8.27868	5 -1 -1 -1
1.946828	-1.11374	5 -1 -1 -1
2.0022067	0.02419	0 -1 -1 -1
2.0232583	8.5540556	-1 -1 -1 0
2.0381346	-1.12785	5 -1 -1 -1
2.0478026	-0.81464	5 -1 -1 -1
2.1811875	-6.5599972	-1 -1 2 -1
2.2097481	-8.3443889	-1 -1 2 -1
2.2726564	-2.7376694	-1 -1 2 -1
2.3424952	0.4676	5 -1 -1 -1
2.3924355	-8.96087	1 -1 -1 -1
2.4802361	-7.28307	5 -1 -1 -1
2.5077939	1.14716	1 -1 -1 -1
2.588564	-0.21392	3 -1 -1 -1
2.7662621	-6.81686	7 -1 2 -1
2.7701131	-8.7985361	-1 -1 2 -1
2.8743111	-7.9348333	-1 0 0 -1
2.9105528	0.9394167	-1 0 0 -1
2.9530444	6.6331389	-1 -1 -1 0
7.1404572	54.1476611	-1 -1 2 -1
7.2349208	51.0020806	-1 -1 2 -1
7.2399025	40.2679917	-1 -1 2 -1
7.243125	45.6666944	-1 1 1 -1
7.2566528	55.47975	-1 -1 -1 0
7.2780806	53.3861944	-1 -1 1 -1
7.4018861	38.0635	-1 -1 -1 1
7.4087172	50.18175	-1 -1 2 -1
7.4570672	31.1572806	-1 -1 2 -1
7.4616455	44.56713	5 -1 -1 -1
7.4915042	59.8284056	-1 -1 2 -1
7.5039917	39.5334444	-1 0 0 -1
7.5140742	44.93359	3 -1 -1 -1
7.5356455	43.9715	3 -1 -1 -1
7.5502075	39.41843	5 -1 -1 -1
7.5732667	35.1118611	-1 -1 -1 0
7.5847917	41.9743056	-1 0 0 -1
7.5945011	25.1707028	-1 -1 2 -1
7.6051483	24.1846306	-1 -1 2 -1
7.6161387	43.4839	0 -1 -1 -1
7.621994	29.49227	0 0 -1 -1
7.6470871	41.98543	1 -1 2 -1
7.6625917	24.8595	-1 -1 -1 0
7.6905139	48.1539722	-1 0 -1 -1
7.6953072	17.6869417	-1 -1 2 -1
7.7182753	27.1740056	-1 -1 2 -1
7.7194072	52.0628222	-1 -1 2 -1
7.7233521	23.60723	7 -1 -1 -1
7.7309028	28.3577778	-1 0 -1 -1
7.7599253	33.96297	3 -1 -1 -1
7.7617028	31.7146111	-1 1 1 -1
7.7818314	19.57046	5 -1 -1 -1
7.7856542	17.29073	0 -1 -1 -1
7.7990046	37.44205	7 -1 2 -1
7.8052414	45.74614	0 -1 -1 -1
7.8245219	52.0393	-1 -1 2 -1
7.8300278	55.9058333	-1 1 -1 -1
7.872732	33.56359	5 -1 -1 -1
7.8789439	45.94927	3 -1 -1 -1
7.8860861	35.9325278	-1 0 0 -1
7.896548	23.03191	0 -1 -1 -1
7.9185206	26.35443	0 0 0 -1
7.9249858	52.08072	5 -1 -1 -1
7.9404887	37.05825	7 -1 -1 -1
7.9409333	39.0238889	-1 -1 -1 0
7.9413325	50.28786	7 -1 -1 -1
7.9446667	60.5064222	-1 -1 2 -1
7.9739558	10.33851	8 -1 -1 -1
7.9744746	37.78657	0 0 0 -1
